link_id,from_node_id,to_node_id,dir_flag,geometry,length
33,192,5087,1,"LINESTRING (-80.8926679 28.7674143, -80.8926713 28.7676885, -80.8928483 28.7684996, -80.8929162 28.7696294, -80.8929461 28.7716472)",472.5071932
34,7139,254,1,"LINESTRING (-80.7192289 28.2303105, -80.7193629 28.2300617)",30.62202233
35,198,199,1,"LINESTRING (-80.8066818 28.3779104, -80.8061545 28.3768063, -80.8055966 28.3756509, -80.8053745 28.3752219, -80.8051023 28.3747685)",382.1923377
36,7576,5378,1,"LINESTRING (-80.6294726 27.9986656, -80.6297319 27.9988331)",31.54386564
37,248,9155,1,"LINESTRING (-80.8434971 28.5074198, -80.8430145 28.5066593, -80.8425888 28.5060177, -80.8423213 28.5054841, -80.8421183 28.5048958, -80.841975 28.5040434, -80.8419517 28.5033589, -80.8418518 28.5004403)",809.239059
38,5411,7140,1,"LINESTRING (-80.7178924 28.2300604, -80.7177745 28.2301568, -80.7176753 28.23031)",35.37034361
39,7137,5412,1,"LINESTRING (-80.7163917 28.2303517, -80.7169597 28.2304156, -80.7172055 28.2304664, -80.717389 28.2305308, -80.7175308 28.2306134, -80.7177242 28.2307951)",144.5352287
40,206,3856,1,"LINESTRING (-80.8383525 28.5020847, -80.8380011 28.5023481, -80.8378409 28.5024211, -80.8376634 28.5024734, -80.8374761 28.5024966, -80.8372751 28.5024777, -80.8369253 28.5023663)",155.6537868
41,3856,3858,1,"LINESTRING (-80.8369253 28.5023663, -80.8367023 28.5022055, -80.8365655 28.501991, -80.836519 28.5017863, -80.8365757 28.5015379, -80.8367671 28.5012804, -80.8370485 28.5011428, -80.8373294 28.5011099, -80.8376424 28.5011453, -80.8379499 28.5012396, -80.8382429 28.5014308, -80.8386741 28.5017903)",356.6788359
42,3857,9156,1,"LINESTRING (-80.8345807 28.4967103, -80.8353531 28.4978857, -80.835647 28.4983756, -80.8359008 28.4989236, -80.8360893 28.4995386, -80.836183 28.5001319, -80.8362517 28.5016402)",583.5756342
43,4774,210,1,"LINESTRING (-80.8516977 28.5554789, -80.8517854 28.5551987, -80.8519407 28.5540485, -80.852068 28.5532313, -80.8521025 28.5521445)",373.7142764
44,7970,10734,1,"LINESTRING (-80.7058222 28.4048993, -80.7057421 28.4047967, -80.7057216 28.4047717)",17.26712331
45,10734,212,1,"LINESTRING (-80.7057216 28.4047717, -80.7057076 28.4047569, -80.7056807 28.4047327, -80.7056373 28.404705)",11.14890317
