name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,is_zone
,5354,2239783902,traffic_signals,127,signal,primary,0,-112.0091853,33.4146999,,,,FALSE
,5355,4347932433,,127,,primary,0,-112.0100543,33.4131463,,,,FALSE
,5356,2239784021,traffic_signals,128,signal,primary,0,-111.987073,33.4483057,,,,FALSE
,5357,10608845193,,113,,motorway,0,-111.9894485,33.4590647,,,,FALSE
,5358,2239876809,,128,,motorway,0,-111.9777258,33.4197518,,,,FALSE
,5359,2246859991,,177,,primary,0,-111.6859219,33.2636516,,,,FALSE
,5360,2246859993,,177,,primary,0,-111.6859324,33.2642636,,,,FALSE
,5361,2246860192,,177,,primary,0,-111.686244,33.2848132,,,,FALSE
,5362,2246860217,,177,,primary,0,-111.6862544,33.2858139,,,,FALSE
,5363,2246859994,,177,,primary,0,-111.6861079,33.2642646,,,,FALSE
,5364,2246859992,,177,,primary,0,-111.6860957,33.2636491,,,,FALSE
,5365,255630292,traffic_signals,192,signal,primary,0,-111.685908,33.2527971,,,,FALSE
,5366,2246859988,,192,,primary,0,-111.6858929,33.2520906,,,,FALSE
,5367,2246860111,traffic_signals,177,signal,primary,0,-111.686388,33.2828503,,,,FALSE
,5368,5160636584,,177,,primary,0,-111.6863805,33.2823027,,,,FALSE
,5369,2246860009,,177,,primary,0,-111.6860023,33.2685889,,,,FALSE
,5370,2246860012,,177,,primary,0,-111.6860202,33.2696895,,,,FALSE
,5371,2246860267,traffic_signals,177,signal,primary,0,-111.686313,33.2887727,,,,FALSE
,5372,2246860282,,177,,primary,0,-111.6863233,33.2890226,,,,FALSE
,5373,606108820,,177,,primary,0,-111.685908,33.2628217,,,,FALSE
,5374,5160413124,,192,,primary,0,-111.6857397,33.2522028,,,,FALSE
,5375,2246859989,traffic_signals,192,signal,primary,0,-111.685749,33.2528008,,,,FALSE
,5376,2246860074,,177,,primary,0,-111.686363,33.2812013,,,,FALSE
,5377,5160636587,,177,,primary,0,-111.6863619,33.2811086,,,,FALSE
,5378,5160943459,,177,,primary,0,-111.6865309,33.2894316,,,,FALSE
,5379,2056062996,traffic_signals,177,signal,primary,0,-111.686516,33.2887587,,,,FALSE
,5380,2246860108,traffic_signals,177,signal,primary,0,-111.686208,33.2828572,,,,FALSE
,5381,5160636582,,177,,primary,0,-111.6862174,33.2833632,,,,FALSE
,5382,5160413122,,177,,primary,0,-111.6860913,33.2632603,,,,FALSE
,5383,2246860286,,177,,primary,0,-111.6863423,33.289494,,,,FALSE
,5384,3353349967,,177,,primary,0,-111.6863642,33.2898652,,,,FALSE
,5385,5160636591,,177,,primary,0,-111.6863353,33.2789538,,,,FALSE
,5386,41773372,traffic_signals,177,signal,primary,0,-111.68633,33.2782804,,,,FALSE
,5387,2246860003,,177,,primary,0,-111.6859394,33.2673992,,,,FALSE
,5388,41800909,traffic_signals,192,signal,primary,0,-111.6856845,33.2493793,,,,FALSE
,5389,2246859983,,192,,primary,0,-111.6858816,33.2500121,,,,FALSE
,5390,2246860223,,177,,primary,0,-111.6862725,33.2868548,,,,FALSE
,5391,5160946914,,177,,primary,0,-111.6862909,33.2879518,,,,FALSE
,5392,3838166547,traffic_signals,177,signal,primary,0,-111.68591,33.266342,,,,FALSE
,5393,3838166537,traffic_signals,177,signal,primary,0,-111.685915,33.2664545,,,,FALSE
,5394,2246860225,,177,,primary,0,-111.686455,33.2868506,,,,FALSE
,5395,4184544672,,177,,primary,0,-111.6875211,33.288531,,,,FALSE
,5396,4184567714,,177,,primary,0,-111.686504,33.2882977,,,,FALSE
,5397,9660523498,,177,,primary,0,-111.6352228,33.3007117,,,,FALSE
,5398,5162511145,,177,,primary,0,-111.635211,33.3001446,,,,FALSE
,5399,5162503530,,162,,primary,0,-111.63563,33.3192779,,,,FALSE
,5400,2263655364,traffic_signals,177,signal,primary,0,-111.635029,33.2922514,,,,FALSE
,5401,5162517990,,177,,primary,0,-111.635,33.285949,,,,FALSE
,5402,4347885066,,162,,primary,0,-111.6871734,33.3297821,,,,FALSE
,5403,6124372117,,162,,primary,0,-111.6871705,33.329422,,,,FALSE
,5404,2263655912,,162,,primary,0,-111.6870502,33.3232964,,,,FALSE
,5405,2263655903,,162,,primary,0,-111.6870489,33.3225945,,,,FALSE
,5406,2263655883,,162,,primary,0,-111.6870462,33.3222417,,,,FALSE
,5407,6479830546,traffic_signals,162,signal,primary,0,-111.687044,33.3217437,,,,FALSE
,5408,6479831116,traffic_signals,162,signal,primary,0,-111.687041,33.3215804,,,,FALSE
,5409,5160888686,,162,,primary,0,-111.6870627,33.3241208,,,,FALSE
,5410,5160888687,,162,,primary,0,-111.6870602,33.324024,,,,FALSE
,5411,2263655960,traffic_signals,162,signal,primary,0,-111.6869271,33.3252434,,,,FALSE
,5412,2263655964,traffic_signals,162,signal,primary,0,-111.686928,33.3253444,,,,FALSE
,5413,2263655971,,162,,primary,0,-111.6869351,33.3256665,,,,FALSE
,5414,2263655966,traffic_signals,162,signal,primary,0,-111.687096,33.3253445,,,,FALSE
,5415,2263655961,traffic_signals,162,signal,primary,0,-111.68709,33.3252408,,,,FALSE
,5416,41879749,,162,,primary,0,-111.6870843,33.324992,,,,FALSE
,5417,4347885068,,162,,primary,0,-111.6869879,33.3300722,,,,FALSE
,5418,2263656048,,162,,primary,0,-111.6870982,33.3307735,,,,FALSE
,5419,5137556930,,224,,primary,0,-111.5332024,33.1273493,,,,FALSE
,5420,9875512034,,224,,primary,0,-111.5380859,33.1328338,,,,FALSE
,5421,41721551,,53,,primary,0,-111.9712382,33.69133,,,,FALSE
,5422,5147305921,,53,,primary,0,-111.9697298,33.6941648,,,,FALSE
,5423,4351397687,,53,,primary,0,-111.9770358,33.6814021,,,,FALSE
,5424,4351397685,,53,,primary,0,-111.9771486,33.6809883,,,,FALSE
,5425,2267446117,,53,,primary,0,-111.9773187,33.6714432,,,,FALSE
,5426,2483864995,,53,,primary,0,-111.977306,33.6718453,,,,FALSE
,5427,41618742,,52,,primary,0,-112.030083,33.6668298,,,,FALSE
,5428,2501934385,,52,,primary,0,-112.0302213,33.6648428,,,,FALSE
,5429,3732377484,,24,,primary,0,-111.9258573,33.7626213,,,,FALSE
,5430,2274518245,,24,,primary,0,-111.9258542,33.7630965,,,,FALSE
,5431,41517209,,24,,primary,0,-111.9258599,33.7635881,,,,FALSE
,5432,2361888653,,111,,motorway,0,-112.0825434,33.459788,,,,FALSE
,5433,2281679241,,128,,motorway,0,-111.980689,33.4440614,,,,FALSE
,5434,256195419,,128,,motorway,0,-111.9805188,33.44274,,,,FALSE
,5435,256195421,motorway_junction,128,,motorway,0,-111.9800289,33.4409545,,,,FALSE
