name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
South 48th Street,104,5562004,68,69,1,224.72,3,56,1600,secondary,4,"LINESTRING (-111.9782891 33.4073275, -111.9782267 33.4075043, -111.9781871 33.4076127, -111.9781846 33.4093419)",a,0,0,,
,105,5563368,70,71,1,529.73,1,120,2300,motorway,1,"LINESTRING (-111.9782579 33.4348286, -111.9782402 33.4349177, -111.9782186 33.4350176, -111.9781918 33.4351174, -111.9781583 33.4352154, -111.9781200 33.4353133, -111.9780804 33.4354105, -111.9780296 33.4355188, -111.9779734 33.4356151, -111.9779152 33.4357124, -111.9778457 33.4358108, -111.9777715 33.4359046, -111.9776981 33.4359874, -111.9776089 33.4360741, -111.9775243 33.4361477, -111.9774305 33.4362232, -111.9773248 33.4362989, -111.9772180 33.4363667, -111.9771065 33.4364298, -111.9769857 33.4364896, -111.9768637 33.4365409, -111.9767328 33.4365896, -111.9766056 33.4366298, -111.9764729 33.4366653, -111.9763454 33.4366905, -111.9762235 33.4367098, -111.9761002 33.4367277, -111.9746650 33.4369227, -111.9738299 33.4371135)",a,0,1,,
,106,5563612,72,73,1,59.77,1,30,1000,residential,6,"LINESTRING (-111.9233183 33.3318748, -111.9230779 33.3316597, -111.9228805 33.3314804)",a,1,0,,
,107,5563612,73,72,1,59.77,1,30,1000,residential,6,"LINESTRING (-111.9228805 33.3314804, -111.9230779 33.3316597, -111.9233183 33.3318748)",a,1,0,,
,108,5563612,73,74,1,137.5,1,30,1000,residential,6,"LINESTRING (-111.9228805 33.3314804, -111.9226574 33.3312724, -111.9225029 33.3311075, -111.9224256 33.3309641, -111.9223741 33.3307561, -111.9223999 33.3303760)",a,1,0,,
,109,5563612,74,73,1,137.5,1,30,1000,residential,6,"LINESTRING (-111.9223999 33.3303760, -111.9223741 33.3307561, -111.9224256 33.3309641, -111.9225029 33.3311075, -111.9226574 33.3312724, -111.9228805 33.3314804)",a,1,0,,
,110,5563612,74,75,1,96.02,1,30,1000,residential,6,"LINESTRING (-111.9223999 33.3303760, -111.9224085 33.3300533, -111.9225372 33.3297593, -111.9227089 33.3295800)",a,1,0,,
,111,5563612,75,74,1,96.02,1,30,1000,residential,6,"LINESTRING (-111.9227089 33.3295800, -111.9225372 33.3297593, -111.9224085 33.3300533, -111.9223999 33.3303760)",a,1,0,,
,112,5563612,75,76,1,129.01,1,30,1000,residential,6,"LINESTRING (-111.9227089 33.3295800, -111.9229406 33.3294509, -111.9231728 33.3293802, -111.9232239 33.3293649, -111.9240307 33.3293720)",a,1,0,,
,113,5563612,76,75,1,129.01,1,30,1000,residential,6,"LINESTRING (-111.9240307 33.3293720, -111.9232239 33.3293649, -111.9231728 33.3293802, -111.9229406 33.3294509, -111.9227089 33.3295800)",a,1,0,,
,114,5565077,77,78,1,445.41,1,120,2300,motorway,1,"LINESTRING (-111.9338920 33.3857087, -111.9351951 33.3858267, -111.9355321 33.3858431, -111.9360140 33.3858671, -111.9364756 33.3858828, -111.9367823 33.3858883, -111.9378312 33.3858896, -111.9380450 33.3858901, -111.9382586 33.3859060, -111.9386661 33.3859575)",a,0,1,,
,115,5565693,79,80,1,55.08,2,80,1800,primary,3,"LINESTRING (-111.9485881 33.4445865, -111.9487328 33.4445037, -111.9488765 33.4443886, -111.9489218 33.4443254, -111.9489708 33.4442238)",a,0,1,,
,116,5565952,81,82,1,435.7,2,120,2300,motorway,1,"LINESTRING (-111.9711154 33.3546267, -111.9713201 33.3539915, -111.9714128 33.3535823, -111.9714787 33.3532639, -111.9715820 33.3528264, -111.9718437 33.3519335, -111.9720432 33.3513294, -111.9722249 33.3508115)",a,0,1,,
South Taylor Drive,117,5567566,83,84,1,78.87,1,40,1000,residential,6,"LINESTRING (-111.9087550 33.3594637, -111.9081627 33.3599727)",a,1,0,,
South Taylor Drive,118,5567566,84,83,1,78.87,1,40,1000,residential,6,"LINESTRING (-111.9081627 33.3599727, -111.9087550 33.3594637)",a,1,0,,
South Greenway Drive,119,5569648,85,86,1,19.79,1,30,1000,residential,6,"LINESTRING (-111.9320793 33.3847713, -111.9320830 33.3845928)",a,1,0,,
South Greenway Drive,120,5569648,86,85,1,19.79,1,30,1000,residential,6,"LINESTRING (-111.9320830 33.3845928, -111.9320793 33.3847713)",a,1,0,,
,121,5571866,87,88,1,432.91,1,120,2300,motorway,1,"LINESTRING (-111.9452650 33.3854478, -111.9434384 33.3853603, -111.9420340 33.3852660, -111.9406240 33.3851561)",a,0,1,,
,122,5573022,89,90,1,450.01,1,120,2300,motorway,1,"LINESTRING (-111.9324545 33.3854570, -111.9301904 33.3852700, -111.9287183 33.3851729, -111.9276360 33.3850912)",a,0,1,,
East Greentree Drive,123,5573138,91,92,1,41.85,1,30,1000,residential,6,"LINESTRING (-111.9214042 33.3316382, -111.9209547 33.3316267)",a,1,0,,
East Greentree Drive,124,5573138,92,91,1,41.85,1,30,1000,residential,6,"LINESTRING (-111.9209547 33.3316267, -111.9214042 33.3316382)",a,1,0,,
South Stanley Place,125,5573149,93,94,1,86.58,1,30,1000,residential,6,"LINESTRING (-111.9208978 33.3347002, -111.9208889 33.3343030, -111.9208863 33.3339193)",a,1,0,,
South Stanley Place,126,5573149,94,93,1,86.58,1,30,1000,residential,6,"LINESTRING (-111.9208863 33.3339193, -111.9208889 33.3343030, -111.9208978 33.3347002)",a,1,0,,
South Stanley Place,127,5573149,94,95,1,128.33,1,30,1000,residential,6,"LINESTRING (-111.9208863 33.3339193, -111.9209236 33.3335672, -111.9209236 33.3332803, -111.9209064 33.3330724, -111.9208593 33.3327662)",a,1,0,,
South Stanley Place,128,5573149,95,94,1,128.33,1,30,1000,residential,6,"LINESTRING (-111.9208593 33.3327662, -111.9209064 33.3330724, -111.9209236 33.3332803, -111.9209236 33.3335672, -111.9208863 33.3339193)",a,1,0,,
South Stanley Place,129,5573149,95,96,1,117.47,1,30,1000,residential,6,"LINESTRING (-111.9208593 33.3327662, -111.9208292 33.3324915, -111.9208120 33.3320971, -111.9208292 33.3319035, -111.9208363 33.3317087)",a,1,0,,
South Stanley Place,130,5573149,96,95,1,117.47,1,30,1000,residential,6,"LINESTRING (-111.9208363 33.3317087, -111.9208292 33.3319035, -111.9208120 33.3320971, -111.9208292 33.3324915, -111.9208593 33.3327662)",a,1,0,,
,131,5573241,73,97,1,49.2,1,30,1000,residential,6,"LINESTRING (-111.9228805 33.3314804, -111.9224771 33.3317672)",a,1,0,,
,132,5573241,97,73,1,49.2,1,30,1000,residential,6,"LINESTRING (-111.9224771 33.3317672, -111.9228805 33.3314804)",a,1,0,,
,133,5573243,74,98,1,63.18,1,30,1000,residential,6,"LINESTRING (-111.9223999 33.3303760, -111.9230779 33.3303473)",a,1,0,,
,134,5573243,98,74,1,63.18,1,30,1000,residential,6,"LINESTRING (-111.9230779 33.3303473, -111.9223999 33.3303760)",a,1,0,,
,135,5573244,75,99,1,224.82,1,30,1000,residential,6,"LINESTRING (-111.9227089 33.3295800, -111.9225715 33.3294366, -111.9224857 33.3292716, -111.9225008 33.3276079)",a,1,0,,
