name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,3636,321006249,turning_circle,,,,,,-111.9157438,33.3737141,,,
,3637,6796044152,,,,,,,-111.9175527,33.4465975,,,
,3638,9387209417,,,,,,,-111.9175961,33.4465983,,,
,3639,41779447,,,,,,,-111.9179494,33.4465803,,,
,3640,42398059,turning_circle,,,,,,-111.9191854,33.446599,,,
,3641,41642651,,,,,,,-111.9374508,33.3210663,,,
,3642,41579980,,,,,,,-111.9726273,33.3901175,,,
,3643,42398934,,,,,,,-111.9708077,33.3906119,,,
,3644,42398940,,,,,,,-111.9716767,33.3910218,,,
,3645,41579974,,,,,,,-111.9722754,33.3911064,,,
,3646,4347614158,,,,,,,-111.9400377,33.3782254,,,
,3647,2941419364,,,,,,,-111.9432899,33.3782242,,,
,3648,42023979,traffic_signals,,signal,,,,-111.900632,33.3784706,,,
,3649,42402623,,,,,,,-111.9618396,33.4055658,,,
,3650,41662613,,,,,,,-111.9397784,33.4046692,,,
,3651,42403995,,,,,,,-111.9575508,33.3698608,,,
,3652,42001990,,,,,,,-111.9545819,33.3691885,,,
,3653,42404009,,,,,,,-111.9537249,33.3690064,,,
,3654,42404030,turning_circle,,,,,,-111.9535687,33.3693018,,,
,3655,42404769,,,,,,,-111.9022131,33.3674928,,,
,3656,2714317980,,,,,,,-111.8987661,33.4293774,,,
,3657,41736805,,,,,,,-111.8987581,33.4292554,,,
,3658,42404782,turning_circle,,,,,,-111.8995635,33.3825662,,,
,3659,42404787,,,,,,,-111.9017238,33.3674999,,,
,3660,42404795,,,,,,,-111.9014786,33.3282584,,,
,3661,41501595,,,,,,,-111.9009026,33.3638087,,,
,3662,42404806,,,,,,,-111.9003865,33.3622954,,,
,3663,42404809,,,,,,,-111.900009,33.4032981,,,
,3664,42404815,,,,,,,-111.899342,33.4129498,,,
,3665,42404819,,,,,,,-111.8996579,33.3817277,,,
,3666,42404824,,,,,,,-111.8996751,33.3793697,,,
,3667,42404825,turning_circle,,,,,,-111.8996665,33.3790257,,,
,3668,42404828,,,,,,,-111.8992605,33.3770977,,,
