name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,main_node_id
,20235,100814291,,,0,,,,-82.497558,27.231989,,
,20237,100814882,traffic_signals,,1,,,,-82.400064,27.040807,,1027
,20238,100815033,,,0,,,,-82.384586,27.0964328,,
,20239,100815250,traffic_signals,,1,,,,-82.3976042,27.0498955,,
,20240,100815252,traffic_signals,,1,,,,-82.3976008,27.0497213,,
,20241,100815316,traffic_signals,,1,,,,-82.400016,27.041037,,1027
,20242,100815318,traffic_signals,,1,,,,-82.400163,27.040955,,1027
,20243,100816679,traffic_signals,,1,,,,-82.5406932,27.3387971,,1309
,20244,100821362,,,0,,,,-82.5244601,27.2625013,,
,20245,100821757,,,0,,,,-82.3804425,27.0065855,,
,20246,100823986,,,0,,,,-82.4336493,27.104061,,
,20247,100823989,traffic_signals,,1,,,,-82.4341657,27.1038905,,
,20248,100824190,traffic_signals,,1,,,,-82.5309966,27.3444796,,
,20249,100825537,traffic_signals,,1,,,,-82.4247335,27.0791023,,89
,20250,100825565,traffic_signals,,1,,,,-82.424922,27.0789987,,1278
,20251,100828084,traffic_signals,,1,,,,-82.5447356,27.3387983,,
,20252,100830084,traffic_signals,,1,,,,-82.4904563,27.2073287,,
,20258,100830752,traffic_signals,,1,,,,-82.4523701,27.3380306,,
,20259,100834313,,,0,,,,-81.961127,28.9560645,,
,20260,100834334,,,0,,,,-82.4034925,27.0499071,,
,20261,100836279,traffic_signals,,1,,,,-81.9542374,28.9489735,,
,20262,100838351,,,0,,,,-82.0397716,28.9559382,,
,20263,100838489,,,0,,,,-82.0391198,28.9520411,,
,20264,100839629,,,0,,,,-82.0369068,28.8908364,,
,20265,100839633,,,0,,,,-82.054717,28.6027333,,
,20266,100839636,,,0,,,,-82.5305586,27.3540886,,
,20267,100840816,,,0,,,,-82.4549637,27.1343033,,
,20268,100841202,,,0,,,,-82.1043697,28.6675048,,
,20269,100841213,traffic_signals,,1,,,,-82.0705325,28.7998644,,
,20270,100841232,,,0,,,,-82.0539338,28.7998175,,
,20272,100841266,traffic_signals,,1,,,,-82.0455013,28.8472808,,560
,20273,100841310,,,0,,,,-82.0374736,28.8701096,,
,20274,100841333,traffic_signals,,1,,,,-82.0370407,28.8835817,,
,20275,100841336,,,0,,,,-82.0369323,28.8893426,,
,20276,100841349,,,0,,,,-82.0369102,28.9127663,,
,20277,100841354,,,0,,,,-82.0372671,28.925193,,
,20278,100841358,,,0,,,,-82.0370165,28.9310579,,
,20279,100841367,,,0,,,,-82.0369604,28.9383223,,
,20280,100842094,traffic_signals,,1,,,,-82.0558982,28.8473566,,
,20281,100842184,,,0,,,,-82.054746,28.617395,,
